SODID;SeqProduct;tgl;Jam Masuk;Jam Keluar;InsentifHariRaya;PerjalananDinas;Insentif Penginapan
SOD2016120001;1;2016-12-01;5:00:00;23:37:00;;;
SOD2016120001;1;2016-12-02;13:00:00;14:39:00;;;
SOD2016120001;1;2016-12-03;;;;;
SOD2016120001;1;2016-12-04;;;;;
SOD2016120001;1;2016-12-05;7:00:00;19:43:00;;;
SOD2016120001;1;2016-12-06;9:00:00;20:26:00;;;
SOD2016120001;1;2016-12-07;8:30:00;21:12:00;;;
SOD2016120001;1;2016-12-08;4:30:00;21:22:00;;;
SOD2016120001;1;2016-12-09;8:30:00;17:58:00;;;
SOD2016120001;1;2016-12-10;;;;;
SOD2016120001;1;2016-12-11;;;;;
SOD2016120001;1;2016-12-12;;;;;
SOD2016120001;1;2016-12-13;8:00:00;20:09:00;;;
SOD2016120001;1;2016-12-14;;;;;
SOD2016120001;1;2016-12-15;9:56:00;21:42:00;;;
SOD2016120001;1;2016-12-16;8:00:00;20:43:00;;;
SOD2016120001;1;2016-12-17;;;;;
SOD2016120001;1;2016-12-18;;;;;
SOD2016120001;1;2016-12-19;3:00:00;19:38:00;;;
SOD2016120001;1;2016-12-20;9:00:00;21:45:00;;;
SOD2016120001;1;2016-12-21;8:15:00;17:19:00;;;
SOD2016120001;1;2016-12-22;5:15:00;20:49:00;;;
SOD2016120001;1;2016-12-23;9:00:00;17:11:00;;;
SOD2016120001;1;2016-12-24;;;;;
SOD2016120001;1;2016-12-25;;;;;
SOD2016120001;1;2016-12-26;;;;;
SOD2016120001;1;2016-12-27;9:40:00;19:45:00;;;
SOD2016120001;1;2016-12-28;;;;;
SOD2016120001;1;2016-12-29;10:30:00;21:05:00;;;
SOD2016120001;1;2016-12-30;7:30:00;21:34:00;;;
SOD2016120001;1;2016-12-31;;;;;
